Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Depreciation,Resale_Percentage
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,6,16.11,47.37014047696832
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,2,0.16000000000000014,98.92545332437878
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,3,3.0999999999999996,60.509554140127385
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,1,2.3900000000000006,90.58684521465143
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,3,0.9600000000000009,92.86775631500743
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,13,9.97,25.928677563150078
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,12,21.23,10.53518752633797
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,8,57.599999999999994,37.79697624190065
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,6,7.84,42.94032023289665
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,5,2.5999999999999996,57.024793388429764
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,4,2.01,70.26627218934911
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,9,14.809999999999999,20.419129500268674
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,4,4.84,69.91920447482909
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,13,10.19,25.620437956204377
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,10,18.78,17.559262510974538
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,6,12.76,31.434712520150455
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,2,4.640000000000001,81.72508861756597
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,1,1.6400000000000006,91.20171673819742
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,5,11.559999999999999,37.882858678130034
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,8,10.799999999999999,47.18826405867971
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,2,0.1499999999999999,92.10526315789474
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,1,0.1200000000000001,93.4065934065934
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,1,0.13000000000000012,92.69662921348313
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,1,0.15000000000000013,90.62499999999999
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,1,0.11999999999999988,91.83673469387756
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,3,1.02,56.9620253164557
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,4,2.1,39.130434782608695
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,5,0.25,83.33333333333334
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,2,0.30000000000000004,80.0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,1,0.27,81.63265306122449
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,2,0.5800000000000001,67.41573033707866
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,2,0.3500000000000001,76.66666666666666
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,4,1.25,47.916666666666664
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,2,0.25,82.14285714285714
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,3,0.32000000000000006,78.2312925170068
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,3,0.3599999999999999,75.51020408163266
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,5,0.3699999999999999,74.82993197278913
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,3,0.7999999999999998,57.89473684210527
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,3,0.3699999999999999,74.82993197278913
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,5,0.8499999999999999,55.26315789473685
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,2,0.20999999999999996,83.33333333333334
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,7,0.44999999999999996,70.0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,2,0.11999999999999988,89.74358974358975
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,5,0.47,68.02721088435374
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,6,0.8,54.285714285714285
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,9,0.85,51.42857142857144
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,1,0.04999999999999993,94.73684210526316
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,2,0.050000000000000044,93.75
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,1,0.06999999999999995,91.95402298850576
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,1,0.05999999999999994,92.85714285714286
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,1,0.12,86.20689655172414
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,3,0.06999999999999995,91.46341463414635
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,1,0.19999999999999996,78.94736842105263
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,2,0.22999999999999998,75.78947368421053
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,1,0.16000000000000003,80.24691358024691
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,3,0.08999999999999997,87.83783783783784
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,4,0.5499999999999999,54.16666666666667
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,5,0.137,82.59212198221093
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,2,0.27,68.9655172413793
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,3,0.35,63.1578947368421
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,5,0.6,50.0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,2,0.20000000000000007,74.99999999999999
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,3,0.24,71.42857142857143
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,2,0.24,71.42857142857143
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,4,0.39,60.60606060606061
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,6,0.21000000000000008,74.07407407407408
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,4,0.237,69.8856416772554
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,3,0.2899999999999999,65.47619047619048
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,8,0.41999999999999993,55.319148936170215
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,2,0.42999999999999994,54.255319148936174
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,7,0.32599999999999996,60.53268765133172
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,2,0.050000000000000044,90.9090909090909
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,6,0.49,50.505050505050505
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,5,0.49,50.505050505050505
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,4,0.38,56.81818181818182
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,1,0.030000000000000027,94.11764705882352
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,1,0.040000000000000036,92.3076923076923
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,3,0.36,57.14285714285714
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,1,0.06000000000000005,88.88888888888889
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,1,0.06,88.23529411764706
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,7,0.49999999999999994,47.36842105263158
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,4,0.37599999999999995,54.47941888619855
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,6,0.54,45.45454545454546
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,8,0.49999999999999994,47.36842105263158
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,2,0.09000000000000002,83.33333333333333
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,2,0.09000000000000002,83.33333333333333
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,2,0.10000000000000003,81.81818181818181
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,4,0.39000000000000007,51.85185185185185
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,5,0.31,57.534246575342465
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,3,0.14,74.07407407407408
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,6,0.42999999999999994,48.19277108433735
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,3,0.15000000000000002,72.72727272727273
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,4,0.24,62.5
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,1,0.10999999999999999,78.43137254901961
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,3,0.33999999999999997,52.77777777777778
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,7,0.40700000000000003,48.284625158831
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,7,0.7000000000000001,33.33333333333333
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,2,0.21999999999999997,61.40350877192983
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,4,0.17000000000000004,67.3076923076923
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,8,0.74,29.523809523809526
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,6,0.21000000000000002,58.82352941176471
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,2,0.18,62.5
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,5,0.27999999999999997,51.724137931034484
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,5,0.19999999999999996,57.446808510638306
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,10,0.5,33.33333333333333
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,10,0.32999999999999996,43.10344827586207
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,8,0.27,48.07692307692307
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,5,0.26,49.01960784313725
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,5,0.31999999999999995,43.85964912280702
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,13,0.36999999999999994,35.08771929824562
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,10,0.55,26.666666666666668
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,6,0.36999999999999994,35.08771929824562
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,11,0.55,26.666666666666668
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,5,0.45,30.76923076923077
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,10,0.587,25.412960609911057
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,3,0.14,56.25
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,10,0.35,32.69230769230769
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,8,0.35,31.372549019607842
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,7,0.41999999999999993,26.31578947368421
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,11,0.45999999999999996,20.689655172413794
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,12,0.65,13.333333333333334
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,8,3.54,47.864506627393226
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,3,1.2999999999999998,77.19298245614036
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,7,1.6499999999999995,64.1304347826087
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,3,1.6799999999999997,62.076749435665924
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,2,0.4500000000000002,92.10526315789474
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,1,1.38,80.64516129032259
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,3,0.5499999999999998,90.35087719298247
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,1,0.1999999999999993,97.53086419753087
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,3,0.8500000000000005,85.0877192982456
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,6,1.4999999999999996,67.3913043478261
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,3,3.039999999999999,79.44557133198107
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,2,2.3499999999999996,82.72058823529413
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,7,3.89,42.70986745213549
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,1,0.4500000000000002,92.10526315789474
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,6,4.9,47.87234042553191
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,2,1.5299999999999998,65.46275395033861
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,2,1.2799999999999998,71.10609480812641
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,4,2.95,68.61702127659575
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,6,4.9,47.87234042553191
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,1,0.9299999999999997,79.00677200902935
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,5,2.29,66.27393225331369
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,4,1.5999999999999996,78.94736842105263
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,3,1.1500000000000004,87.7659574468085
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,5,4.29,54.36170212765957
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,7,1.8999999999999995,58.69565217391305
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,3,0.4500000000000002,92.10526315789474
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,7,1.88,57.56207674943566
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,6,4.45,52.659574468085104
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,6,3.69,45.65537555228277
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,5,3.25,65.42553191489363
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,1,0.15000000000000036,98.40425531914893
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,3,3.34,77.41717376605814
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,5,1.8000000000000003,68.42105263157895
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,3,0.20000000000000018,96.49122807017544
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,1,0.3000000000000007,96.80851063829786
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,2,1.3299999999999996,69.97742663656885
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,3,2.3499999999999996,82.72058823529413
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,5,4.6000000000000005,51.06382978723404
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,6,2.4299999999999997,45.146726862302486
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,6,4.050000000000001,56.914893617021264
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,3,2.38,66.61991584852736
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,4,2.7299999999999995,61.71107994389903
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,2,1.3499999999999996,82.23684210526316
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,5,3.45,63.297872340425535
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,6,4.2,55.319148936170215
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,6,3.04,55.22827687776142
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,3,3.45,63.297872340425535
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,5,0.5999999999999996,86.95652173913044
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,2,2.3499999999999996,69.07894736842105
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,2,0.6999999999999993,94.8529411764706
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,5,4.9,50.505050505050505
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,3,1.42,79.17888563049854
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,4,2.7,72.72727272727273
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,5,4.65,53.03030303030303
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,6,2.3499999999999996,56.07476635514019
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,2,3.3499999999999996,75.36764705882352
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,3,5.1,62.5
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,3,5.199999999999999,61.76470588235294
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,4,3.1,55.714285714285715
